pert_id,pert_iname,mCS_homo,mCS_hetero,target_organ,OrganScore,efficacy_z,specificity,GSE92742,GSE70138,robustness,composite_score,rank
BRD-K13662825,dinaciclib,0.0127678153498632,-0.12634111943582096,intestine,0.13910893478568417,3.4101011280441225,0.1364515137525738,,-0.07631638071521746,0.5,1.5549759053434211,17
BRD-K79222491,BRD-K79222491,0.0159317316794844,-0.12182640936230596,intestine,0.13775814104179035,3.376343032269825,0.13510072000867998,-0.10859900464730494,,0.5,1.541067428910534,18
BRD-K33720394,BRD-K33720394,0.1541382085305125,0.018342410431890166,intestine,0.13579579809862233,3.3273015251434117,0.13313837706551196,0.0247711375313379,,0.5,1.5208621231770183,19
BRD-A24643465,homoharringtonine,0.1592140796804257,0.02401355409409407,intestine,0.13520052558633164,3.3124248894079007,0.13254310455322127,0.06477707546116371,,0.5,1.5147328871291268,20
BRD-A76941896,doxorubicin,-0.0856738578304165,-0.39801009669371695,kidney,0.3123362388633004,4.666037522678287,0.3135759291516348,-0.3102470884324467,,0.5,2.110487787816805,1
BRD-K55055802,BRD-K55055802,0.0983145375048462,-0.18427059031514473,kidney,0.2825851278199909,4.223338362557734,0.28382481810832527,-0.0962498741696569,,0.5,1.9244827904555912,2
BRD-K02130563,panobinostat,0.157514964332284,-0.1017124642676654,kidney,0.2592274285999494,3.8757737350717893,0.2604671188882838,-0.08168759640169285,,0.5,1.7784496296952008,3
BRD-A09749088,ST-023431,0.2147509698756623,-0.03952247990083102,kidney,0.25427344977649335,3.8020580926137173,0.2555131400648277,-0.0132873762184553,,0.5,1.7474771790649353,4
BRD-K70578146,dactinomycin,-0.0174263945023893,-0.2704238590334851,kidney,0.2529974645310958,3.7830713194595513,0.25423715481943016,-0.2501020496365858,,0.5,1.7394996742296496,5
BRD-K22503835,scriptaid,0.0952507638877291,-0.15428455485440307,kidney,0.24953531874213217,3.731554284322345,0.2507750090304665,-0.1105443032942448,,0.5,1.7178542164380777,6
BRD-K92158425,BRD-K92158425,,-0.246327450838521,kidney,0.246327450838521,3.683820926578527,0.24756714112685535,-0.2633961778015269,,0.5,1.6977985129694673,7
BRD-K88679075,methandriol,0.0909852954844247,-0.15370415176378788,kidney,0.24468944724821257,3.6594472884764615,0.2459291375365469,-0.0654725986561619,,0.5,1.6875576566515487,8
BRD-K01896723,BRD-K01896723,,-0.2421332011681372,kidney,0.2421332011681372,3.6214101210219938,0.24337289145647154,-0.2831276990688043,,0.5,1.671575915845739,9
BRD-K61397605,romidepsin,-0.0221688854445483,-0.26086440938924793,kidney,0.23869552394469962,3.570257180301025,0.23993521423303396,,-0.2066182002891572,0.5,1.6500834363903203,10
BRD-K04710043,hexamethylenebisacetamide,0.1390371456691392,-0.08974933467467165,kidney,0.22878648034381083,3.4228097362937904,0.23002617063214517,0.0260946182042149,,0.5,1.5881317457071595,11
BRD-K77681376,BRD-K77681376,,-0.223784189871738,kidney,0.223784189871738,3.3483752122371273,0.22502388016007235,-0.236698521958651,,0.5,1.5568572489428725,12
BRD-K24538644,KU-C104502N,0.2407565893063166,0.025496775292420483,kidney,0.21525981401389613,3.2215317465485693,0.21649950430223047,0.038999262218779,,0.5,1.5035625499100969,13
BRD-K55044200,amoxicillin,0.1011448227392697,-0.11314016370165837,kidney,0.21428498644092808,3.207026226160202,0.21552467672926243,-0.1086664607936402,,0.5,1.4974678934828596,14
BRD-K10846167,BRD-K10846167,,-0.20921041049618727,kidney,0.20921041049618727,3.1315160878855535,0.21045010078452162,-0.1553737261227764,,0.5,1.4657414653895777,15
BRD-K31471398,dihydrexidine,0.1433561014328609,-0.0654025303926466,kidney,0.2087586318255075,3.1247935813620438,0.20999832211384184,-0.0585009041254779,,0.5,1.46291692917897,16
BRD-K35133769,BRD-K35133769,0.1294045320706834,-0.07817076278549713,kidney,0.20757529485618054,3.1071854227390583,0.20881498514451488,-0.0136849812083808,,0.5,1.4555186646389777,17
BRD-A16478930,amcinonide,0.1573531104869389,-0.04926449804011503,kidney,0.20661760852705394,3.0929349655730687,0.20785729881538828,-0.0590338775343113,,0.5,1.4495311758738438,18
BRD-K53780220,BRD-K53780220,,-0.20573872536952614,kidney,0.20573872536952614,3.079857106560837,0.2069784156578605,-0.2077507589989073,,0.5,1.444036367321693,19
BRD-K24686773,BRD-K24686773,0.1357798060352108,-0.06758527039106882,kidney,0.20336507642627963,3.0445370006304544,0.20460476671461397,-0.0570065804441495,,0.5,1.429196230266566,20
BRD-K81258678,triptolide,,-0.6796603948242271,liver,0.6796603948242271,11.277594148821626,0.6698468413245952,,-0.675946385165173,0.5,4.861991711926029,1
BRD-K53417444,OTS-167,,-0.5713584197177812,liver,0.5713584197177812,9.454213570731508,0.5615448662181493,,-0.5660326639967134,0.5,4.100148888158048,2
BRD-A76941896,doxorubicin,,-0.40553042538062195,liver,0.40553042538062195,6.662320404602001,0.39571687188099,-0.3733927819799845,,0.5,2.9336432234050975,3
BRD-A72180425,K784-3188,0.2320029418381519,-0.10041078195136988,liver,0.3324137237895218,5.431321861092632,0.3226001702898898,-0.0720462482954693,,0.5,2.41930879552402,4
BRD-K72238567,fludarabine,,-0.32065854257564386,liver,0.32065854257564386,5.233410704844116,0.3108449890760119,-0.3514381611022871,,0.5,2.33661777866045,5
BRD-K04548931,epirubicin,-0.023637220588942152,-0.3249348443071193,liver,0.30129762371817714,4.90744875092789,0.29148407021854517,-0.3167999136919175,,0.5,2.2004247214367196,6
BRD-K13662825,dinaciclib,,-0.295868590997514,liver,0.295868590997514,4.816045128686066,0.286055037497882,,-0.31197504724099523,0.5,2.162234562723791,7
BRD-K39484304,triptolide,,-0.2908879328817876,liver,0.2908879328817876,4.732190376587627,0.2810743793821556,-0.2616345821872954,,0.5,2.1271984644496977,8
BRD-K98490050,amsacrine,0.22125721623599134,-0.06883723624842947,liver,0.2900944524844208,4.718831278157225,0.2802808989847888,-0.0430680858864008,,0.5,2.121616780958327,9
BRD-K69650333,idarubicin,,-0.2843107050439024,liver,0.2843107050439024,4.621455650969868,0.2744971515442704,-0.25740850939907634,,0.5,2.0809314058512287,10
BRD-A83706824,BRD-A83706824,0.2498063729222433,-0.018880952216425533,liver,0.26868732513866883,4.358419197060998,0.25887377163903685,0.0269457872538288,,0.5,1.9710298103161104,11
BRD-K11927976,ER-27319,-0.1358101020303174,-0.40194524871014675,liver,0.26613514667982935,4.315450519628347,0.25632159318019737,-0.3231226263280094,,0.5,1.953076685805398,12
BRD-A52530684,doxorubicin,-0.08286862879092424,-0.3426100524003628,liver,0.2597414236094385,4.207805294721055,0.24992787010980658,-0.2959611059280095,,0.5,1.908100478921364,13
BRD-K17953061,staurosporine,-0.0626552279311048,-0.3072458894037274,liver,0.2445906614726226,3.9527258707642794,0.23477710797299065,-0.4064415559707017,-0.2431631327103339,0.7486495616791883,1.8761183492013656,14
BRD-K84770158,BRD-K84770158,0.1948161531245764,-0.05629645552062725,liver,0.2511126086452036,4.062529886749452,0.24129905514557168,-0.0381743719053326,,0.5,1.8474016712434524,15
BRD-A59985574,topotecan,,-0.24868878902193567,liver,0.24868878902193567,4.021722268776496,0.23887523552230372,-0.22501066184487345,,0.5,1.8303514781672894,16
BRD-K36153907,KU-C103885,0.1761455388492905,-0.06922147721857368,liver,0.24536701606786415,3.965796637842009,0.2355534625682322,-0.07437125638306435,,0.5,1.8069846939072733,17
BRD-A27489425,rolitetracycline,0.1680718063608286,-0.07678148975973405,liver,0.24485329612056267,3.9571476083707893,0.23503974262093072,-0.0771709270913061,,0.5,1.803370966134595,18
BRD-K41567364,SB-334867,0.2169682256568013,-0.025205764871598986,liver,0.24217399052840027,3.912038608514457,0.23236043702876832,-0.02068016447152095,,0.5,1.7845235745144132,19
BRD-K42006476,BRD-K42006476,0.2282212316993327,-0.009854871618892,liver,0.2380761033182247,3.843046256870878,0.22826254981859276,0.0058271399371317,,0.5,1.755697267693929,20
BRD-K81258678,triptolide,,-0.7293741663124566,lung,0.7293741663124566,12.475662089697867,0.7270193299134478,,-0.6834219106277617,0.5,5.358370634853181,1
BRD-K50691590,bortezomib,,-0.374469513222143,lung,0.374469513222143,6.385493171433595,0.37211467682313415,,-0.3539780658245497,0.5,2.815831671620378,2
BRD-K53417444,OTS-167,,-0.37427492643956856,lung,0.37427492643956856,6.382154059464165,0.3719200900405597,,-0.3538053334361029,0.5,2.814437650797834,3
BRD-K61397605,romidepsin,,-0.2973023981654913,lung,0.2973023981654913,5.06130437442013,0.29494756176648246,,-0.30044239083617963,0.5,2.2630060182979967,4
BRD-K59325863,delanzomib,,-0.29156700191923574,lung,0.29156700191923574,4.962884892881277,0.2892121655202269,,-0.2701829335778897,0.5,2.221917606808579,5
BRD-K84955386,hyperoside,0.1160359212265216,-0.17267767801414893,lung,0.2887135992406705,4.913920462144812,0.2863587628416617,0.0031096534980161,,0.5,2.2014758137104233,6
BRD-K13662825,dinaciclib,,-0.27158619247213206,lung,0.27158619247213206,4.620013917263084,0.2692313560731232,,-0.24750722498087846,0.5,2.0787749737271706,7
BRD-K52560704,methylstat,0.1944310788115691,-0.06846491088798813,lung,0.26289598969955724,4.470889913511347,0.2605411533005484,,-0.06933637816930854,0.5,2.0165183113947034,8
BRD-K43389698,BMS-387032,,-0.2557633630995477,lung,0.2557633630995477,4.348493939137044,0.25340852670053887,-0.2500474828928589,,0.5,1.9654201336649793,9
BRD-K73991644,isoquercetin,0.1279422103541362,-0.12274316467136927,lung,0.2506853750255055,4.261355591227081,0.24833053862649665,-0.0299116699807265,,0.5,1.929041398078781,10
BRD-A36331462,oprozomib,,-0.22635781937983335,lung,0.22635781937983335,3.8438943887307735,0.22400298298082452,,-0.22179186380770316,0.5,1.7547586503865567,11
BRD-K94649603,taxifolin,0.12127023394442521,-0.10399803291901084,lung,0.22526826686343604,3.825197651980774,0.22291343046442721,-0.0140673163642578,,0.5,1.7469530899316377,12
BRD-K85592362,BRD-K85592362,0.19957140245079,-0.025680807381992767,lung,0.22525220983278277,3.824922113105325,0.22289737343377394,0.0168952282550769,,0.5,1.7468380572722622,13
BRD-K99475619,genz-644282,,-0.22262952073235853,lung,0.22262952073235853,3.7799167306664265,0.2202746843333497,,-0.17290028083935827,0.5,1.7280490975665754,14
BRD-K43586850,lacidipine,,-0.20865256270856802,lung,0.20865256270856802,3.540071931261353,0.2062977263095592,,-0.21575787633023405,0.5,1.6279180903974089,15
BRD-K92571446,WZ-3105,,-0.20639703331392087,lung,0.20639703331392087,3.5013670146199365,0.20404219691491204,-0.2342057891382459,,0.5,1.6117594649224483,16
BRD-K63712590,BRD-K63712590,0.09982154010708565,-0.10037573846442582,lung,0.20019727857151148,3.3949791346518627,0.19784244217250266,-0.055739284339349354,,0.5,1.567344386512496,17
BRD-K46255814,BRD-K46255814,0.09942147749230627,-0.09670441556413122,lung,0.1961258930564375,3.325114101037143,0.19377105665742866,-0.0192822092643613,,0.5,1.5381769574120858,18
BRD-K19059335,BRD-K19059335,0.15874105345577927,-0.03251026413093926,lung,0.19125131758671854,3.241466316323931,0.1888964811877097,-0.00044603118381685014,,0.5,1.5032554708858852,19
BRD-K47278471,diphenhydramine,0.11050614461679001,-0.07995390834899711,lung,0.1904600529657871,3.2278882041223635,0.18810521656677828,0.0167294643016881,,0.5,1.497586846618979,20
